,score_1,score_2,score_3,score_4,score_5,label_pred_1,label_pred_2,label_pred_3,label_pred_4,label_pred_5,label_true,is_pred_1_correct,is_pred_2_correct,is_pred_3_correct,is_pred_4_correct,is_pred_5_correct,is_top3_correct,is_top5_correct
0,0.7383677959442139,0.7171751856803894,0.7141348719596863,0.7070273756980896,0.7061797380447388,wrong designation,"message ""sos to check""",reset adac,message sos to control,message sos to control,out of scope,0,0,0,0,0,0,0
1,0.7131222486495972,0.6845996975898743,0.6743994355201721,0.6725082993507385,0.6680594086647034,black screen,black screen,reset adac,tachometer needle freeze,reset adac,aspect issue ,0,0,0,0,0,0,0
2,0.618209183216095,0.6102579832077026,0.5997177362442017,0.5890544652938843,0.5788124799728394,display issue,display issue,display issue,aspect issue ,settings issue,aspect issue ,0,0,0,1,0,0,1
3,0.7522964477539062,0.747968316078186,0.7409328818321228,0.7224293947219849,0.710911750793457,out of scope,out of scope,inex,out of scope,fuel gauge issue,out of scope,1,1,0,1,0,1,1
4,0.7768884301185608,0.748769223690033,0.732021689414978,0.7273821234703064,0.7140311598777771,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,reset adac,0,0,0,0,0,0,0
5,0.7940952181816101,0.6670898199081421,0.6562685370445251,0.6472775340080261,0.6371939778327942,oil level issue,reset adac,fuel gauge issue,message sos to control,wrong designation,inex,0,0,0,0,0,0,0
6,0.6916003227233887,0.609015703201294,0.541357696056366,0.5365314483642578,0.5337467789649963,inex,reset adac,settings issue,temperature fonction issue,bluetooth,inex,1,0,0,0,0,1,1
7,0.6916003227233887,0.5960178971290588,0.5532418489456177,0.5468195676803589,0.5417826771736145,inex,inex,inexploitable,reset adac,blocage ots (issue),inex,1,1,0,0,0,1,1
8,0.6984739899635315,0.6948471665382385,0.6912186741828918,0.6909990310668945,0.6782232522964478,black screen,inex,out of scope,speed reading function issue,inductive charger issue,inex,0,1,0,0,0,1,1
9,0.739378809928894,0.7323229908943176,0.7313295602798462,0.7264921069145203,0.7191743850708008,out of scope,reset adac,"message ""sos to check""",time issue,inex,out of scope,1,0,0,0,0,1,1
10,0.9934147000312805,0.7525045871734619,0.7138598561286926,0.7132291793823242,0.711530864238739,out of scope,connectivity issue,connectivity issue,"message ""sos to check""",wrong designation,out of scope,1,0,0,0,0,1,1
11,0.7051434516906738,0.6743426322937012,0.6622959971427917,0.6493697762489319,0.6417574286460876,fuel gauge issue,tachometer needle freeze,speed reading function issue,spinning flower,reset adac,inex,0,0,0,0,0,0,0
12,0.635032057762146,0.5879574418067932,0.5820044279098511,0.5763557553291321,0.5735751390457153,connectivity issue,"message ""sos to check""",black screen,inexploitable,black screen,out of scope,0,0,0,0,0,0,0
13,0.862935483455658,0.8438365459442139,0.8370665311813354,0.8196407556533813,0.815543532371521,fuel gauge issue,fuel gauge issue,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,0,1,1,1,1
14,0.6650609374046326,0.6429240703582764,0.6324406862258911,0.6300214529037476,0.62964928150177,connectivity issue,reset adac,wrong designation,display issue,9999 mileage / faulty language,inex,0,0,0,0,0,0,0
15,0.7870982885360718,0.783598780632019,0.7738634347915649,0.7530466318130493,0.7514715194702148,fuel gauge issue,oil level issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,0,1,1,1,1,1
16,0.7141715884208679,0.7029473781585693,0.6835528612136841,0.6730053424835205,0.672716498374939,blocage ots (issue),black screen,speed reading function issue,bluetooth,loss of tactil function on screen,fuel gauge issue,0,0,0,0,0,0,0
17,0.66763836145401,0.6545863747596741,0.6503599286079407,0.6421537399291992,0.6416258811950684,customer misuse,"message ""sos to check""",display freeze,inexploitable,connectivity issue,out of scope,0,0,0,0,0,0,0
18,0.7206020951271057,0.6872370839118958,0.6796794533729553,0.6796396374702454,0.6768861413002014,black screen,shunt issue,black screen,black screen,display issue,inex,0,0,0,0,0,0,0
19,0.7754469513893127,0.754687488079071,0.7283326983451843,0.7280821800231934,0.7272010445594788,inex,reset adac,"message ""sos to check""",shunt issue,black screen,out of scope,0,0,0,0,0,0,0
20,0.7393913865089417,0.6917130351066589,0.6675269603729248,0.6551132798194885,0.6471100449562073,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,inex,fuel gauge issue,1,1,1,1,0,1,1
21,0.6908111572265625,0.6670482158660889,0.6645416617393494,0.5573197603225708,0.551620602607727,inex,inex,inex,oil level issue,shunt issue,inex,1,1,1,0,0,1,1
22,0.8089917898178101,0.7096352577209473,0.6908111572265625,0.6029009222984314,0.5954840779304504,inex,inex,inex,shunt issue,shunt issue,inex,1,1,1,0,0,1,1
23,0.8089917898178101,0.7197285890579224,0.6670482158660889,0.6272069215774536,0.6167912483215332,inex,inex,inex,tcu issue,tcu issue,inex,1,1,1,0,0,1,1
24,0.7197285890579224,0.7096352577209473,0.6645416617393494,0.6411564946174622,0.640343427658081,inex,inex,inex,black screen,"message ""sos to check""",inex,1,1,1,0,0,1,1
25,0.9279823899269104,0.8038010001182556,0.8036381006240845,0.7907040119171143,0.7877129912376404,fuel gauge issue,fuel gauge issue,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,0,1,1,1,1
26,0.9932332634925842,0.822331428527832,0.7935822606086731,0.7741775512695312,0.7678212523460388,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
27,0.9279823899269104,0.8535796999931335,0.8262560367584229,0.8177887797355652,0.8115968108177185,fuel gauge issue,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,0,1,1,1,1,1
28,0.6416745185852051,0.6322447061538696,0.6210952997207642,0.6197149157524109,0.6061789393424988,out of scope,out of scope,wrong designation,black screen,9999 mileage / faulty language,out of scope,1,1,0,0,0,1,1
29,0.8324719071388245,0.8113834857940674,0.7652846574783325,0.7600541114807129,0.757158100605011,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,inex,fuel gauge issue,1,1,1,1,0,1,1
30,0.7941080927848816,0.7833574414253235,0.7806791067123413,0.7702509164810181,0.7656753063201904,shunt issue,black screen,inexploitable,message sos to control,"message ""sos to check""",out of scope,0,0,0,0,0,0,0
31,0.7522964477539062,0.7484804391860962,0.739378809928894,0.7384158372879028,0.7330943942070007,out of scope,out of scope,out of scope,wrong designation,inex,out of scope,1,1,1,0,0,1,1
32,0.44333726167678833,0.40418073534965515,0.4012865126132965,0.36607396602630615,0.36597439646720886,map issue,temperature fonction issue,bluetooth,display freeze,blocage ots (issue),inex,0,0,0,0,0,0,0
33,0.9955939650535583,0.8260672688484192,0.8106479644775391,0.8099846839904785,0.7982958555221558,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
34,0.8487082123756409,0.8122752904891968,0.808764636516571,0.7982267737388611,0.7958828210830688,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
35,0.7907040119171143,0.7580872774124146,0.7563163042068481,0.7536595463752747,0.7526528835296631,fuel gauge issue,fuel gauge issue,fuel gauge issue,inex,fuel gauge issue,fuel gauge issue,1,1,1,0,1,1,1
36,0.8273063898086548,0.8071287274360657,0.7979696393013,0.7935822606086731,0.791187047958374,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
37,0.986652672290802,0.8356292843818665,0.8033868670463562,0.7883526682853699,0.7871531248092651,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
38,0.8448783159255981,0.8356292843818665,0.8356265425682068,0.8276774287223816,0.8260318636894226,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
39,0.8094908595085144,0.8029443025588989,0.8021289706230164,0.7961501479148865,0.7961480617523193,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,0,1,1,1,1,1,1
40,0.6662476062774658,0.6659162640571594,0.6584681868553162,0.6572220921516418,0.6555625796318054,black screen,speed reading function issue,fuel gauge issue,shunt issue,fuel gauge issue,out of scope,0,0,0,0,0,0,0
41,0.8066791296005249,0.790783703327179,0.7878581285476685,0.7724158763885498,0.7611441612243652,"message ""sos to check""","message ""sos to check""",wrong designation,message sos to control,inductive charger issue,out of scope,0,0,0,0,0,0,0
42,0.9820013046264648,0.6338046193122864,0.6321603655815125,0.5711890459060669,0.5415914058685303,out of scope,black screen,speed reading function issue,reset adac,display issue,out of scope,1,0,0,0,0,1,1
43,0.756020724773407,0.7409582138061523,0.7397891283035278,0.7351198792457581,0.7155424356460571,"message ""sos to check""","message ""sos to check""","message ""sos to check""","message ""sos to check""","message ""sos to check""",inex,0,0,0,0,0,0,0
44,0.6203909516334534,0.6192700862884521,0.6063037514686584,0.5909067392349243,0.5872091054916382,shunt issue,inductive charger issue,inductive charger issue,wrong designation,9999 mileage / faulty language,out of scope,0,0,0,0,0,0,0
45,0.5253735780715942,0.5235214233398438,0.5090495944023132,0.49816015362739563,0.4846618175506592,reset adac,reset adac,wrong designation,reset adac,reset adac,reset adac,1,1,0,1,1,1,1
46,0.7900134921073914,0.7559009194374084,0.7487732172012329,0.7477172613143921,0.7438293099403381,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,0,1,1,1,1,1,1
47,0.6425279974937439,0.5923780202865601,0.5909110903739929,0.588989794254303,0.5884609818458557,reset adac,update issue,reset adac,inex,reset adac,reset adac,1,0,1,0,1,1,1
48,0.7723197937011719,0.7530950903892517,0.747536301612854,0.7335855960845947,0.7275434732437134,inductive charger issue,shunt issue,"message ""sos to check""",black screen,reset adac,inex,0,0,0,0,0,0,0
49,0.6385709643363953,0.6374845504760742,0.6301808953285217,0.6179548501968384,0.6146852970123291,reset adac,settings issue,reset adac,reset adac,reset adac,reset adac,1,0,1,1,1,1,1
50,0.7015923261642456,0.6987201571464539,0.6985217332839966,0.6973387598991394,0.6963734030723572,wrong designation,fuel gauge issue,black screen,out of scope,out of scope,out of scope,0,0,0,1,1,0,1
51,0.7549662590026855,0.7454410791397095,0.741377592086792,0.7372308373451233,0.7361012101173401,reset adac,loss of tactil function on screen,wrong designation,black screen,connectivity issue,out of scope,0,0,0,0,0,0,0
52,0.7852138876914978,0.7768819332122803,0.7644794583320618,0.7634655237197876,0.7569939494132996,message sos to control,"message ""sos to check""","message ""sos to check""",message sos to control,"message ""sos to check""",fuel gauge issue,0,0,0,0,0,0,0
53,0.997118353843689,0.7733895182609558,0.7310435771942139,0.7291091680526733,0.7286136746406555,reset adac,reset adac,9999 mileage / faulty language,fuel gauge issue,fuel gauge issue,reset adac,1,1,0,0,0,1,1
54,0.6702345609664917,0.6409642100334167,0.6308294534683228,0.6236671209335327,0.6177440881729126,wrong designation,wrong designation,black screen,wrong designation,black screen,inex,0,0,0,0,0,0,0
55,0.8837777376174927,0.8291946649551392,0.7646276950836182,0.7585798501968384,0.7547071576118469,reset adac,reset adac,fuel gauge issue,fuel gauge issue,black screen,reset adac,1,1,0,0,0,1,1
56,0.6578163504600525,0.6470333337783813,0.642733633518219,0.6415148973464966,0.640802800655365,reset adac,black screen,wrong designation,settings issue,wrong designation,out of scope,0,0,0,0,0,0,0
57,0.6019938588142395,0.5905033349990845,0.5745445489883423,0.5742277503013611,0.5735579133033752,reset adac,reset adac,reset adac,wrong designation,reset adac,reset adac,1,1,1,0,1,1,1
58,0.7812748551368713,0.7684323191642761,0.7622031569480896,0.7587789297103882,0.7549821138381958,black screen,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,reset adac,0,0,0,0,0,0,0
59,0.7794918417930603,0.7586116194725037,0.7401154041290283,0.737349808216095,0.7362546920776367,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,inex,0,0,0,0,0,0,0
60,0.9976508617401123,0.734585702419281,0.7253198623657227,0.7250884771347046,0.7117706537246704,reset adac,reset adac,wrong designation,reset adac,reset adac,reset adac,1,1,0,1,1,1,1
61,0.7676414251327515,0.7570567727088928,0.7534118890762329,0.7369028925895691,0.7334432601928711,microphone issue,bluetooth,microphone issue,bluetooth,bluetooth,out of scope,0,0,0,0,0,0,0
62,0.7888175249099731,0.7339484691619873,0.7316585779190063,0.6950632929801941,0.6939032673835754,inex,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,0,1,1,1,1,1,1
63,0.8214033842086792,0.8177887797355652,0.8137988448143005,0.8122752904891968,0.8086786866188049,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,fuel gauge issue,1,1,1,1,1,1,1
64,0.49639174342155457,0.49150320887565613,0.48369020223617554,0.45523014664649963,0.44621869921684265,reset adac,reset adac,reset adac,reset adac,reboot issue,reset adac,1,1,1,1,0,1,1
65,0.6817430257797241,0.6585771441459656,0.6548696756362915,0.6529374122619629,0.6316144466400146,reset adac,reset adac,black screen,inex,wrong designation,inex,0,0,0,1,0,0,1
66,0.7625176906585693,0.7295889854431152,0.7226554155349731,0.6963321566581726,0.6919622421264648,reset adac,settings issue,reset adac,reset adac,reset adac,reset adac,1,0,1,1,1,1,1
